"Source File";"240425C\Trend1.trd";"Date";"04/25/24";"Output";"D:\RespirationData\240425C_new.txt";"Start";"16:05:50";"Stop";"17:24:37"
"Saba_20241023"
"Time";"Resp Rate";"Temp 1"
"Seconds";"Resp/m";"°C"
1;0;28.0
2;0;28.0
3;0;28.0
4;40;27.9
5;47;27.9
6;47;27.8
7;47;27.8
8;47;27.8
9;47;27.7
10;47;27.7
11;0;27.7
12;0;27.7
13;34;27.7
14;34;27.7
15;33;27.7
16;33;27.7
17;33;27.7
18;33;27.7
19;33;27.7
20;33;27.7
21;32;27.7
22;32;27.7
23;32;27.7
24;32;27.7
25;30;27.7
26;30;27.7
27;29;27.7
28;29;27.7
29;29;27.7
30;28;27.7
31;28;27.7
32;28;27.7
33;28;27.7
34;27;27.7
35;27;27.7
36;27;27.7
37;26;27.7
38;26;27.7
39;26;27.7
40;26;27.7
41;26;27.7
42;26;27.7
43;26;27.7
44;25;27.7
45;25;27.7
46;24;27.7
47;24;27.7
48;22;27.7
49;22;27.8
50;21;27.7
51;21;27.8
52;21;27.8
53;21;27.8
54;21;27.8
55;21;27.8
56;23;27.8
57;23;27.8
58;24;27.8
59;24;27.8
60;26;27.8
61;26;27.8
62;27;27.8
63;27;27.8
64;28;27.8
65;28;27.8
66;28;27.8
67;28;27.8
68;29;27.8
69;29;27.8
70;29;27.8
71;30;27.8
72;30;27.8
73;31;27.8
74;31;27.8
75;35;27.8
76;35;27.8
77;37;27.8
78;37;27.8
79;41;27.8
80;41;27.8
81;43;27.8
82;43;27.8
83;46;27.8
84;46;27.8
85;48;27.8
86;48;27.8
87;48;27.8
88;48;27.8
89;50;27.8
90;50;27.8
91;51;27.8
92;50;27.8
93;51;27.8
94;53;27.8
95;54;27.8
96;54;27.8
97;55;27.8
98;56;27.8
99;57;27.8
100;59;27.8
101;60;27.8
102;60;27.8
103;60;27.8
104;62;27.8
105;62;27.8
106;63;27.7
107;63;27.7
108;63;27.7
109;63;27.7
110;64;27.8
111;64;27.7
112;64;27.7
113;64;27.7
114;67;27.7
115;67;27.7
116;67;27.7
117;67;27.7
118;68;27.7
119;68;27.7
120;70;27.7
121;70;27.7
122;71;27.7
123;72;27.7
124;72;27.7
125;72;27.7
126;72;27.7
127;73;27.7
128;73;27.7
129;73;27.7
130;73;27.7
131;73;27.7
132;73;27.7
133;73;27.7
134;73;27.7
135;74;27.7
136;74;27.7
137;73;27.7
138;73;27.7
139;74;27.7
140;74;27.7
141;74;27.7
142;74;27.7
143;75;27.7
144;75;27.7
145;76;27.7
146;76;27.7
147;76;27.7
148;76;27.7
149;69;27.7
150;69;27.7
151;62;27.7
152;62;27.7
153;61;27.7
154;62;27.7
155;63;27.7
156;69;27.7
157;70;27.7
158;76;27.7
159;76;27.7
160;76;27.7
161;76;27.7
162;76;27.7
163;77;27.7
164;76;27.7
165;76;27.7
166;77;27.7
167;77;27.7
168;77;27.7
169;77;27.7
170;77;27.7
171;77;27.7
172;77;27.7
173;77;27.7
174;75;27.7
175;75;27.7
176;75;27.7
177;75;27.7
178;76;27.7
179;76;27.7
180;76;27.7
181;77;27.7
182;77;27.7
183;77;27.7
184;78;27.7
185;77;27.7
186;77;27.7
187;77;27.7
188;77;27.7
189;77;27.7
190;78;27.7
191;78;27.7
192;78;27.7
193;78;27.7
194;77;27.7
195;78;27.7
196;78;27.7
197;78;27.7
198;78;27.7
199;79;27.7
200;79;27.7
201;79;27.7
202;79;27.7
203;80;27.7
204;80;27.7
205;80;27.7
206;79;27.7
207;78;27.7
208;78;27.7
209;78;27.7
210;79;27.7
211;78;27.7
212;78;27.7
213;77;27.7
214;77;27.7
215;77;27.7
216;78;27.7
217;77;27.7
218;77;27.7
219;77;27.7
220;77;27.7
221;78;27.7
222;77;27.7
223;77;27.7
224;77;27.7
225;77;27.7
226;76;27.7
227;76;27.7
228;76;27.7
229;75;27.7
230;76;27.7
231;76;27.7
232;75;27.7
233;75;27.7
234;75;27.7
235;75;27.7
236;75;27.7
237;75;27.7
238;74;27.7
239;74;27.7
240;74;27.7
241;74;27.7
242;73;27.7
243;73;27.7
244;73;27.7
245;73;27.7
246;74;27.7
247;74;27.7
248;74;27.7
249;74;27.7
250;75;27.7
251;74;27.7
252;74;27.7
253;74;27.7
254;74;27.7
255;73;27.7
256;73;27.7
257;73;27.7
258;72;27.7
259;74;27.7
260;73;27.7
261;73;27.7
262;73;27.7
263;72;27.7
264;73;27.7
265;74;27.7
266;74;27.8
267;74;27.7
268;75;27.8
269;74;27.8
270;74;27.8
271;74;27.8
272;73;27.8
273;73;27.8
274;72;27.8
275;72;27.8
276;72;27.8
277;73;27.8
278;73;27.8
279;73;27.8
280;73;27.8
281;73;27.8
282;73;27.8
283;72;27.8
284;73;27.8
285;73;27.8
286;73;27.8
287;73;27.8
288;72;27.8
289;72;27.8
290;72;27.8
291;72;27.8
292;72;27.8
293;71;27.8
294;71;27.8
295;71;27.8
296;72;27.8
297;72;27.8
298;71;27.8
299;71;27.8
300;71;27.8
301;70;27.8
302;70;27.8
303;70;27.8
304;70;27.9
305;70;27.9
306;70;27.9
307;71;27.9
308;71;27.9
309;72;27.9
310;71;27.9
311;71;27.9
312;71;27.9
313;71;27.9
314;72;27.9
315;72;27.9
316;72;27.9
317;72;27.9
318;73;27.9
319;73;27.9
320;72;27.9
321;71;27.9
322;71;27.9
323;70;27.9
324;71;27.9
325;71;27.9
326;71;27.9
327;71;27.9
328;71;27.9
329;72;27.9
330;73;27.9
331;73;27.9
332;73;27.9
333;73;28.0
334;73;27.9
335;74;28.0
336;74;28.0
337;74;28.0
338;74;28.0
339;75;28.0
340;76;28.0
341;76;28.0
342;75;28.0
343;76;28.0
344;76;28.0
345;76;28.0
346;77;28.0
347;79;28.0
348;79;28.0
349;80;28.0
350;81;28.0
351;82;28.0
352;83;28.0
353;83;28.0
354;83;28.0
355;83;28.0
356;82;28.0
357;82;28.0
358;82;28.0
359;83;28.0
360;83;28.0
361;85;28.0
362;85;28.0
363;85;28.0
364;85;28.0
365;84;28.0
366;85;28.0
367;85;28.0
368;85;28.0
369;85;28.0
370;86;28.0
371;87;28.0
372;88;28.0
373;90;28.0
374;92;28.0
375;93;28.0
376;94;28.0
377;95;28.0
378;97;28.0
379;98;28.0
380;100;28.0
381;100;28.0
382;99;28.0
383;100;28.0
384;101;28.0
385;101;28.0
386;100;28.0
387;100;28.0
388;101;28.0
389;102;28.0
390;104;28.0
391;104;28.0
392;104;28.1
393;104;28.1
394;104;28.1
395;104;28.1
396;104;28.1
397;103;28.1
398;102;28.1
399;101;28.1
400;101;28.1
401;101;28.1
402;100;28.1
403;99;28.1
404;98;28.1
405;98;28.1
406;98;28.1
407;97;28.1
408;97;28.1
409;96;28.1
410;96;28.1
411;96;28.1
412;95;28.1
413;94;28.2
414;94;28.2
415;94;28.2
416;94;28.1
417;93;28.2
418;93;28.2
419;94;28.1
420;94;28.2
421;94;28.2
422;95;28.2
423;95;28.2
424;95;28.2
425;96;28.2
426;95;28.2
427;95;28.2
428;95;28.2
429;94;28.2
430;94;28.2
431;94;28.2
432;93;28.2
433;93;28.2
434;93;28.2
435;92;28.2
436;92;28.2
437;92;28.2
438;93;28.2
439;93;28.2
440;94;28.2
441;94;28.2
442;94;28.2
443;94;28.2
444;94;28.2
445;94;28.2
446;93;28.2
447;93;28.2
448;92;28.2
449;93;28.2
450;93;28.2
451;94;28.2
452;93;28.2
453;93;28.2
454;93;28.2
455;93;28.2
456;93;28.2
457;93;28.2
