"Source File";"240425A\Trend1.trd";"Date";"04/25/24";"Output";"D:\RespirationData\240425A.txt";"Start";"11:52:24";"Stop";"13:10:39"
"Saba_20241023"
"Time";"Resp Rate";"Temp 1"
"Seconds";"Resp/m";"°C"
1;92;30.1
2;90;30.1
3;87;30.1
4;84;30.1
5;80;30.1
6;75;30.1
7;73;30.0
8;72;30.0
9;64;30.0
10;57;29.9
11;56;29.9
12;50;29.9
13;46;29.9
14;42;29.9
15;39;29.8
16;39;29.8
17;38;29.8
18;38;29.8
19;38;29.8
20;39;29.8
21;39;29.7
22;39;29.7
23;40;29.7
24;40;29.8
25;41;29.8
26;41;29.8
27;42;29.8
28;42;29.8
29;42;29.8
30;42;29.8
31;44;29.8
32;45;29.8
33;45;29.8
34;47;29.8
35;48;29.8
36;50;29.8
37;50;29.8
38;51;29.8
39;51;29.8
40;51;29.8
41;53;29.8
42;54;29.8
43;54;29.8
44;54;29.7
45;56;29.7
46;56;29.7
47;58;29.7
48;60;29.7
49;60;29.7
50;61;29.7
51;62;29.7
52;62;29.7
53;63;29.7
54;64;29.8
55;63;29.8
56;65;29.8
57;66;29.8
58;66;29.8
59;67;29.8
60;67;29.8
61;67;29.8
62;68;29.8
63;69;29.8
64;69;29.8
65;69;29.8
66;69;29.8
67;69;29.8
68;70;29.8
69;69;29.8
70;70;29.8
71;70;29.8
72;69;29.8
73;70;29.8
74;70;29.8
75;71;29.8
76;71;29.8
77;71;29.8
78;71;29.8
79;72;29.8
80;72;29.8
81;72;29.8
82;73;29.8
83;72;29.8
84;73;29.8
85;74;29.8
86;74;29.8
87;74;29.7
88;74;29.8
89;74;29.8
90;74;29.7
91;73;29.7
92;73;29.7
93;73;29.7
94;73;29.7
95;72;29.7
96;72;29.8
97;73;29.7
98;74;29.7
99;75;29.7
100;75;29.8
101;76;29.7
102;77;29.7
103;78;29.7
104;79;29.7
105;79;29.7
106;79;29.7
107;79;29.7
108;79;29.7
109;78;29.7
110;79;29.7
111;78;29.7
112;78;29.7
113;78;29.7
114;78;29.7
115;78;29.7
116;79;29.7
117;79;29.7
118;79;29.7
119;80;29.7
120;81;29.7
121;82;29.7
122;83;29.7
123;83;29.7
124;83;29.7
125;84;29.7
126;84;29.7
127;85;29.7
128;85;29.7
129;85;29.7
130;85;29.7
131;86;29.7
132;86;29.7
133;86;29.7
134;86;29.7
135;86;29.7
136;87;29.7
137;87;29.7
138;88;29.7
139;89;29.7
140;90;29.7
141;91;29.7
142;91;29.7
143;92;29.7
144;92;29.7
145;92;29.7
146;92;29.7
147;91;29.7
148;92;29.7
149;91;29.7
150;91;29.7
151;91;29.7
152;91;29.7
153;91;29.7
154;90;29.7
155;91;29.7
156;90;29.7
157;90;29.7
158;90;29.7
159;91;29.7
160;90;29.7
161;91;29.7
162;91;29.7
163;91;29.7
164;91;29.7
165;91;29.7
166;91;29.8
167;91;29.7
168;91;29.7
169;91;29.7
170;92;29.7
171;92;29.7
172;93;29.7
173;93;29.7
174;94;29.7
175;96;29.7
176;97;29.8
177;98;29.8
178;98;29.8
179;98;29.8
180;98;29.8
181;99;29.8
182;98;29.8
183;97;29.8
184;97;29.8
185;96;29.8
186;96;29.8
187;96;29.8
188;96;29.8
189;96;29.8
190;97;29.8
191;97;29.8
192;98;29.8
193;98;29.8
194;100;29.8
195;101;29.8
196;102;29.8
197;104;29.8
198;106;29.8
199;108;29.8
200;110;29.8
201;112;29.8
202;113;29.9
203;114;29.8
204;115;29.9
205;116;29.9
206;118;29.9
207;121;29.9
208;124;29.9
209;126;29.9
210;129;29.9
211;131;29.9
212;133;29.9
213;135;29.9
214;137;29.9
215;137;29.9
216;137;29.9
217;139;29.9
218;140;29.9
219;141;29.9
220;140;29.9
221;141;29.9
222;141;29.9
223;142;29.9
224;142;29.9
225;142;29.9
226;142;29.9
227;144;29.9
228;145;29.9
229;145;29.9
230;144;29.9
231;143;29.9
232;141;29.9
233;140;29.9
234;139;29.9
235;138;29.9
236;137;29.9
237;135;29.9
238;135;29.9
239;133;29.9
240;133;29.9
241;132;29.9
242;131;29.9
243;130;29.9
244;128;29.9
245;128;30.0
246;127;30.0
247;126;30.0
248;125;30.0
249;124;30.0
250;123;30.0
251;121;30.0
252;121;30.0
253;120;30.0
254;119;30.0
255;119;30.0
256;118;30.0
257;118;30.0
258;117;30.0
259;115;30.0
260;113;30.0
261;112;30.0
262;111;30.0
263;110;30.0
264;109;30.0
265;108;30.1
266;108;30.1
267;107;30.1
268;106;30.1
269;104;30.1
270;103;30.1
271;102;30.1
272;101;30.1
273;100;30.1
274;100;30.1
275;99;30.1
276;98;30.1
277;98;30.1
278;98;30.1
279;97;30.1
280;97;30.1
281;96;30.1
282;95;30.1
283;95;30.1
284;94;30.1
285;94;30.1
286;93;30.1
287;92;30.1
288;92;30.1
289;92;30.1
290;91;30.1
291;91;30.2
292;91;30.2
293;90;30.2
294;90;30.2
295;89;30.2
296;89;30.2
297;89;30.2
298;88;30.2
299;88;30.2
300;87;30.2
301;87;30.2
302;86;30.2
303;88;30.2
304;88;30.2
305;88;30.3
306;88;30.3
307;88;30.3
308;89;30.3
309;89;30.3
310;89;30.3
311;88;30.3
312;87;30.3
313;86;30.3
314;86;30.4
315;86;30.4
316;86;30.4
317;87;30.4
318;87;30.4
319;87;30.4
320;87;30.4
321;87;30.4
322;88;30.4
323;89;30.4
324;88;30.4
325;87;30.4
326;87;30.4
327;87;30.4
328;88;30.4
329;88;30.4
330;87;30.4
331;87;30.4
332;87;30.4
333;88;30.4
334;89;30.4
335;90;30.4
336;90;30.5
337;90;30.5
338;90;30.5
339;90;30.5
340;90;30.5
341;89;30.5
342;88;30.5
343;88;30.5
344;88;30.5
345;88;30.5
346;89;30.5
347;90;30.6
348;90;30.6
349;90;30.5
350;90;30.5
351;90;30.6
352;89;30.6
353;89;30.6
354;88;30.6
355;88;30.6
356;88;30.6
357;88;30.6
358;89;30.6
359;89;30.6
360;89;30.6
361;88;30.6
362;88;30.6
363;88;30.6
364;89;30.6
365;88;30.6
366;88;30.6
367;88;30.6
368;88;30.6
369;88;30.6
370;89;30.6
371;88;30.6
372;88;30.6
373;89;30.6
374;89;30.7
375;90;30.7
376;90;30.6
377;90;30.7
378;90;30.7
379;91;30.7
380;91;30.7
381;90;30.7
382;90;30.7
383;90;30.7
384;91;30.7
385;91;30.8
386;91;30.7
387;92;30.8
388;92;30.8
389;93;30.8
390;93;30.8
391;93;30.8
392;92;30.8
393;92;30.8
394;92;30.8
395;91;30.8
396;90;30.8
397;89;30.8
398;90;30.8
399;90;30.8
400;90;30.8
401;90;30.8
402;90;30.8
403;90;30.8
404;91;30.8
405;91;30.8
406;91;30.8
407;91;30.8
408;91;30.8
409;91;30.8
410;91;30.8
411;91;30.8
412;90;30.8
413;91;30.8
414;91;30.8
415;91;30.8
416;92;30.9
417;92;30.8
418;93;30.9
419;92;30.9
420;93;30.9
421;93;30.9
422;92;30.9
423;92;30.9
424;91;30.9
425;91;30.9
426;91;30.9
427;91;30.9
428;91;30.9
429;91;30.9
430;91;31.0
431;92;30.9
432;91;31.0
433;91;31.0
434;91;31.0
435;90;30.9
436;90;31.0
437;90;31.0
438;90;31.0
439;90;31.0
440;90;31.0
441;90;31.0
442;90;31.0
443;91;31.0
444;91;31.0
445;92;31.0
446;92;31.0
447;91;31.0
448;91;31.0
449;92;31.0
450;91;31.0
451;91;31.0
452;91;31.0
453;90;31.0
454;89;31.0
455;89;31.1
456;89;31.0
457;89;31.1
458;89;31.1
459;89;31.1
460;90;31.1
461;90;31.1
462;90;31.1
463;91;31.1
464;90;31.1
465;91;31.1
466;91;31.1
467;91;31.1
468;90;31.1
469;90;31.1
470;90;31.1
471;90;31.1
472;91;31.1
473;91;31.1
474;90;31.1
475;90;31.1
476;90;31.1
477;90;31.1
478;90;31.1
479;89;31.1
480;89;31.2
481;89;31.1
482;89;31.1
483;90;31.2
484;88;31.2
485;89;31.2
486;89;31.2
487;89;31.2
488;90;31.2
489;90;31.2
490;90;31.2
491;89;31.2
492;90;31.2
493;90;31.2
494;90;31.2
495;90;31.2
496;90;31.2
497;90;31.2
498;90;31.2
499;90;31.3
500;89;31.2
501;90;31.3
502;90;31.2
503;90;31.2
504;89;31.3
505;89;31.3
506;89;31.3
507;89;31.3
508;88;31.3
509;88;31.3
510;88;31.3
511;88;31.3
512;89;31.3
513;89;31.3
514;89;31.3
515;89;31.3
516;89;31.3
517;89;31.3
518;88;31.3
519;87;31.3
520;87;31.3
521;86;31.3
522;87;31.3
523;87;31.3
524;87;31.3
525;87;31.3
526;87;31.3
527;86;31.3
528;87;31.3
529;88;31.3
530;87;31.3
531;86;31.3
532;86;31.3
533;86;31.3
534;87;31.3
535;87;31.3
536;87;31.3
537;86;31.3
538;86;31.3
539;86;31.4
540;87;31.3
541;86;31.4
542;86;31.4
543;86;31.4
544;86;31.4
545;86;31.4
546;86;31.4
547;86;31.4
548;87;31.4
549;87;31.4
550;86;31.4
551;86;31.4
552;86;31.4
553;86;31.4
554;86;31.4
555;86;31.4
556;86;31.4
557;86;31.5
558;86;31.4
559;86;31.5
560;86;31.5
561;85;31.5
562;85;31.5
563;85;31.5
564;84;31.5
565;84;31.5
566;84;31.5
567;83;31.5
568;84;31.5
569;84;31.5
570;84;31.5
571;84;31.5
572;84;31.5
573;84;31.5
574;84;31.5
575;84;31.5
576;84;31.5
577;83;31.5
578;83;31.5
579;83;31.5
580;83;31.5
581;84;31.5
582;83;31.5
583;84;31.5
584;84;31.5
585;84;31.5
586;84;31.5
587;83;31.5
588;83;31.5
589;83;31.5
590;83;31.5
591;83;31.5
592;83;31.5
593;83;31.5
594;83;31.5
595;84;31.5
596;84;31.5
597;84;31.5
598;84;31.5
599;84;31.5
600;85;31.6
601;84;31.5
602;84;31.5
603;84;31.6
604;84;31.6
605;84;31.6
606;84;31.6
607;85;31.6
608;85;31.6
609;86;31.6
610;86;31.6
611;86;31.6
612;85;31.6
613;85;31.6
614;85;31.6
615;85;31.6
616;85;31.6
617;85;31.6
618;85;31.6
619;85;31.6
620;85;31.6
621;85;31.6
622;86;31.6
623;86;31.6
624;86;31.7
625;86;31.7
626;87;31.7
627;87;31.7
628;87;31.7
629;88;31.7
630;88;31.7
631;89;31.7
632;88;31.7
633;88;31.7
634;88;31.7
