"Source File";"240424A\Trend1.trd";"Date";"04/24/24";"Output";"D:\RespirationData\240424A.txt";"Start";"12:23:30";"Stop";"13:48:36"
"Saba_20241023"
"Time";"Resp Rate";"Temp 1"
"Seconds";"Resp/m";"°C"
1;30;29.5
2;32;29.5
3;32;29.4
4;29;29.5
5;29;29.4
6;29;29.4
7;28;29.5
8;30;29.6
9;27;29.6
10;27;29.6
11;26;29.6
12;40;29.6
13;46;29.6
14;52;29.6
15;77;29.7
16;85;29.6
17;87;29.6
18;95;29.6
19;120;29.6
20;114;29.6
21;117;29.5
22;108;29.5
23;94;29.4
24;93;29.4
25;81;29.4
26;66;29.4
27;64;29.4
28;61;29.3
29;68;29.2
30;77;29.2
31;89;29.1
32;96;29.0
33;120;28.9
34;145;28.8
35;149;28.7
36;173;28.6
37;169;28.5
38;173;28.4
39;177;28.2
40;165;28.2
41;153;28.1
42;135;28.0
43;122;28.0
44;106;27.9
45;108;27.8
46;96;27.7
47;87;27.7
48;87;27.7
49;86;27.6
50;85;27.6
51;85;27.5
52;83;27.5
53;82;27.5
54;82;27.4
55;81;27.4
56;81;27.4
57;80;27.3
58;79;27.3
59;80;27.3
60;81;27.2
61;80;27.2
62;81;27.2
63;80;27.2
64;80;27.2
65;80;27.2
66;81;27.2
67;81;27.1
68;80;27.1
69;80;27.1
70;81;27.1
71;81;27.0
72;82;27.0
73;82;27.0
74;81;27.0
75;81;27.0
76;81;27.0
77;80;27.0
78;79;27.0
79;79;27.0
80;78;27.0
81;78;27.0
82;77;27.0
83;75;27.0
84;74;27.0
85;73;27.0
86;71;27.0
87;70;27.0
88;69;27.0
89;68;27.0
90;67;27.0
91;65;27.0
92;63;27.0
93;61;27.0
94;58;27.0
95;56;27.0
96;54;27.0
97;52;27.0
98;50;27.0
99;49;27.0
100;48;27.0
101;46;27.0
102;47;27.0
103;46;27.0
104;45;27.0
105;45;27.0
106;45;27.0
107;45;27.0
108;44;27.0
109;44;27.0
110;43;27.0
111;43;27.0
112;44;27.0
113;44;27.0
114;43;27.0
115;42;27.0
116;43;26.9
117;43;26.9
118;43;26.9
119;44;26.8
120;44;26.8
121;44;26.8
122;44;26.8
123;44;26.8
124;44;26.8
125;44;26.7
126;44;26.7
127;45;26.7
128;45;26.7
129;46;26.7
130;46;26.7
131;47;26.7
132;48;26.7
133;48;26.7
134;47;26.7
135;48;26.6
136;48;26.6
137;48;26.6
138;48;26.6
139;49;26.6
140;50;26.6
141;51;26.6
142;52;26.5
143;50;26.5
144;50;26.5
145;50;26.5
146;50;26.5
147;50;26.5
148;49;26.5
149;49;26.5
150;49;26.5
151;50;26.5
152;50;26.4
153;50;26.4
154;50;26.4
155;50;26.4
156;50;26.4
157;50;26.4
158;51;26.4
159;52;26.4
160;52;26.3
161;53;26.3
162;53;26.3
163;54;26.3
164;54;26.3
165;54;26.3
166;54;26.2
167;54;26.2
168;54;26.2
169;54;26.2
170;53;26.2
171;54;26.2
172;55;26.2
173;55;26.2
174;55;26.2
175;55;26.2
176;56;26.2
177;56;26.2
178;57;26.2
179;56;26.2
180;56;26.2
181;56;26.2
182;55;26.2
183;55;26.2
184;55;26.2
185;56;26.1
186;55;26.1
187;55;26.1
188;56;26.1
189;56;26.1
190;56;26.1
191;56;26.1
192;57;26.1
193;57;26.1
194;57;26.0
195;57;26.0
196;58;26.0
197;57;26.0
198;58;26.0
199;58;26.0
200;58;26.0
201;59;26.0
202;59;26.0
203;59;26.0
204;58;26.0
205;59;26.0
206;59;26.0
207;60;26.0
208;60;25.9
209;59;26.0
210;59;25.9
211;59;25.9
212;59;25.9
213;59;25.9
214;58;25.9
215;58;25.9
216;59;25.9
217;60;25.9
218;59;25.9
219;59;25.9
220;59;25.9
221;59;25.9
222;60;25.9
223;59;25.9
224;60;25.9
225;59;25.9
226;60;25.9
227;62;25.9
228;62;25.9
229;64;25.9
230;63;25.9
231;64;25.9
232;63;25.9
233;63;25.9
234;62;25.9
235;62;25.8
236;62;25.8
237;61;25.8
238;61;25.8
239;61;25.8
240;62;25.8
241;63;25.8
242;64;25.8
243;63;25.8
244;63;25.8
245;63;25.8
246;56;25.8
247;56;25.8
248;54;25.8
249;50;25.8
250;46;25.8
251;31;25.8
252;32;25.8
253;36;25.8
254;41;25.8
255;43;25.8
256;47;25.7
257;49;25.8
258;50;25.7
259;66;25.7
260;66;25.7
261;66;25.8
262;66;25.7
263;67;25.7
264;67;25.7
265;66;25.7
266;67;25.7
267;67;25.7
268;66;25.7
269;66;25.7
270;67;25.7
271;67;25.7
272;66;25.7
273;66;25.7
274;66;25.7
275;67;25.7
276;67;25.7
277;68;25.7
278;67;25.7
279;67;25.7
280;67;25.7
281;68;25.7
282;68;25.7
283;69;25.7
284;69;25.7
285;69;25.7
286;70;25.7
287;70;25.7
288;70;25.6
289;69;25.7
290;69;25.6
291;68;25.6
292;69;25.6
293;69;25.6
294;69;25.6
295;69;25.6
296;70;25.6
297;70;25.6
298;71;25.6
299;71;25.6
300;71;25.6
301;71;25.6
302;71;25.6
303;72;25.6
304;72;25.6
305;72;25.6
306;72;25.6
307;72;25.5
308;73;25.5
309;72;25.5
310;72;25.5
311;72;25.5
312;73;25.5
313;73;25.5
314;71;25.5
315;71;25.5
316;71;25.5
317;70;25.5
318;70;25.5
319;70;25.5
320;71;25.5
321;71;25.5
322;73;25.5
323;74;25.4
324;74;25.4
325;75;25.4
326;75;25.5
327;75;25.4
328;76;25.4
329;75;25.4
330;75;25.4
331;75;25.4
332;75;25.4
333;76;25.4
334;76;25.4
335;76;25.4
336;76;25.4
337;76;25.4
338;76;25.4
339;76;25.4
340;76;25.4
341;76;25.4
342;76;25.4
343;77;25.4
344;76;25.4
345;76;25.4
346;76;25.4
347;76;25.4
348;77;25.4
349;77;25.4
350;76;25.4
351;75;25.4
352;75;25.4
353;75;25.4
354;75;25.4
355;75;25.4
356;75;25.4
357;75;25.4
358;76;25.4
359;76;25.4
360;76;25.4
361;77;25.4
362;77;25.4
363;77;25.4
364;78;25.4
365;78;25.4
366;78;25.4
367;78;25.4
368;78;25.4
369;77;25.4
370;77;25.4
371;77;25.4
372;77;25.4
373;77;25.3
374;77;25.3
375;77;25.3
376;78;25.4
377;78;25.3
378;78;25.3
379;79;25.3
380;78;25.3
381;78;25.3
382;78;25.3
383;78;25.3
384;78;25.3
385;78;25.3
386;78;25.3
387;78;25.3
388;78;25.3
389;78;25.2
390;78;25.3
391;78;25.2
392;78;25.2
393;78;25.2
394;78;25.2
395;78;25.2
396;78;25.2
397;78;25.2
398;78;25.2
399;79;25.2
400;78;25.2
401;79;25.2
402;80;25.2
403;80;25.2
404;80;25.2
405;80;25.2
406;80;25.2
407;80;25.2
408;80;25.2
409;79;25.2
410;79;25.2
411;80;25.2
412;80;25.2
413;79;25.2
414;80;25.2
415;81;25.2
416;81;25.1
417;81;25.2
418;81;25.2
419;80;25.2
420;80;25.2
421;81;25.2
422;80;25.1
423;80;25.1
424;80;25.1
425;80;25.1
426;80;25.1
427;81;25.1
428;80;25.1
429;80;25.1
430;80;25.1
431;80;25.1
432;80;25.1
433;80;25.1
434;80;25.1
435;80;25.1
436;80;25.1
437;80;25.1
438;80;25.1
439;80;25.1
440;80;25.1
441;80;25.1
442;81;25.1
443;81;25.1
444;81;25.1
445;81;25.1
446;81;25.1
447;82;25.1
448;82;25.1
449;83;25.1
450;83;25.1
451;84;25.1
452;84;25.1
453;84;25.1
454;84;25.1
455;84;25.1
456;85;25.1
457;85;25.1
458;84;25.1
459;85;25.1
460;79;25.1
461;78;25.1
462;79;25.1
463;79;25.1
464;80;25.1
465;80;25.1
466;79;25.1
467;80;25.1
468;86;25.1
469;86;25.1
470;87;25.1
471;87;25.1
472;87;25.1
473;87;25.1
474;87;25.1
475;87;25.1
476;86;25.1
477;86;25.1
478;86;25.1
479;86;25.1
480;85;25.1
481;85;25.1
482;86;25.1
483;86;25.1
484;86;25.1
485;85;25.1
486;85;25.1
487;85;25.1
488;85;25.1
489;85;25.1
490;84;25.1
491;85;25.1
492;84;25.1
493;85;25.1
494;84;25.1
495;85;25.1
496;85;25.1
497;85;25.1
498;85;25.1
499;84;25.1
500;84;25.1
501;85;25.1
502;84;25.1
503;84;25.1
504;83;25.1
505;82;25.1
506;82;25.1
507;82;25.1
508;81;25.1
509;81;25.1
510;81;25.1
511;81;25.1
512;81;25.1
513;82;25.1
514;83;25.1
515;83;25.1
516;84;25.1
517;84;25.1
518;84;25.1
519;84;25.2
520;84;25.2
521;83;25.2
522;83;25.2
523;82;25.2
524;82;25.2
525;82;25.2
526;82;25.2
527;82;25.2
528;82;25.2
529;82;25.2
530;82;25.2
531;81;25.2
532;81;25.2
533;81;25.2
534;80;25.2
535;80;25.2
536;79;25.2
537;79;25.2
538;78;25.2
539;79;25.2
540;79;25.2
541;79;25.2
542;79;25.2
543;80;25.2
544;81;25.2
545;81;25.2
546;82;25.2
547;81;25.2
548;80;25.2
549;79;25.2
550;79;25.2
551;79;25.2
552;78;25.2
553;77;25.3
554;77;25.2
555;77;25.2
556;78;25.3
557;78;25.3
558;78;25.3
559;77;25.3
560;77;25.3
561;78;25.3
562;78;25.3
563;77;25.3
564;76;25.3
565;75;25.3
566;75;25.3
567;75;25.3
568;75;25.3
569;74;25.3
570;73;25.3
571;73;25.3
572;73;25.3
573;73;25.4
574;73;25.3
575;73;25.3
576;72;25.3
577;72;25.4
578;72;25.4
579;72;25.4
580;72;25.4
581;72;25.4
582;73;25.4
583;73;25.4
584;73;25.4
585;72;25.4
586;73;25.4
587;73;25.4
588;72;25.4
589;72;25.4
590;72;25.4
591;72;25.4
592;72;25.4
593;73;25.4
594;73;25.4
595;73;25.4
596;73;25.4
597;72;25.4
598;71;25.4
599;71;25.4
600;70;25.4
601;70;25.4
602;70;25.4
603;70;25.4
604;70;25.4
605;70;25.4
606;70;25.4
607;69;25.4
608;69;25.4
609;69;25.4
610;68;25.4
611;68;25.4
612;68;25.4
613;68;25.4
614;68;25.4
615;68;25.4
616;68;25.4
617;68;25.4
618;68;25.4
619;68;25.4
620;68;25.4
621;68;25.4
622;68;25.4
623;68;25.4
624;69;25.4
625;68;25.4
626;68;25.5
627;69;25.5
628;69;25.5
629;69;25.5
630;69;25.5
631;69;25.5
632;70;25.5
633;70;25.5
634;70;25.5
635;69;25.5
636;69;25.5
637;68;25.5
638;68;25.5
639;68;25.6
640;67;25.5
641;67;25.5
642;67;25.5
643;67;25.5
644;68;25.5
645;67;25.6
646;68;25.5
647;68;25.6
648;69;25.6
649;70;25.6
650;69;25.6
651;69;25.6
652;69;25.6
653;69;25.6
654;69;25.6
655;69;25.6
656;69;25.6
657;68;25.6
658;69;25.6
659;69;25.6
660;69;25.6
661;69;25.6
662;68;25.6
663;68;25.6
664;68;25.6
665;67;25.6
666;67;25.6
667;67;25.6
668;68;25.7
669;68;25.7
670;68;25.7
671;69;25.6
672;68;25.7
673;69;25.7
674;68;25.7
675;68;25.7
676;68;25.7
677;68;25.7
678;68;25.7
679;67;25.7
680;67;25.7
681;67;25.7
682;67;25.7
683;67;25.7
684;67;25.7
685;67;25.7
686;66;25.7
687;67;25.7
688;68;25.7
689;67;25.7
690;68;25.7
691;68;25.7
692;68;25.7
693;68;25.7
694;69;25.7
695;69;25.7
696;69;25.7
697;69;25.8
698;70;25.7
699;69;25.7
700;70;25.7
701;70;25.7
702;70;25.7
703;71;25.8
704;72;25.8
705;72;25.8
706;72;25.8
707;72;25.8
708;72;25.8
709;72;25.8
710;72;25.8
711;72;25.8
712;71;25.8
713;72;25.8
714;72;25.8
715;72;25.8
716;72;25.8
717;72;25.8
718;72;25.8
719;72;25.8
720;73;25.8
721;73;25.8
722;74;25.8
723;74;25.8
724;75;25.8
725;75;25.8
726;75;25.8
727;76;25.8
728;76;25.9
729;76;25.9
730;75;25.9
731;76;25.9
732;75;25.9
733;75;25.9
734;76;25.9
735;74;25.9
736;74;25.9
737;73;25.9
738;73;25.9
739;73;25.9
740;73;25.9
741;73;25.9
742;72;25.9
743;72;25.9
744;72;25.9
745;73;25.9
746;73;25.9
747;73;25.9
748;72;25.9
749;72;25.9
750;72;25.9
751;72;25.9
752;73;25.9
753;72;25.9
754;72;25.9
755;72;25.9
756;73;25.9
757;73;25.9
758;73;25.9
759;73;25.9
760;73;25.9
761;72;25.9
762;72;25.9
763;72;25.9
764;71;26.0
765;71;25.9
766;72;25.9
767;72;26.0
768;73;26.0
769;73;26.0
770;72;26.0
771;72;26.0
772;73;26.0
773;72;26.0
774;71;26.0
775;70;26.0
776;70;26.0
777;69;26.0
778;69;26.0
779;69;26.0
780;68;26.0
781;68;26.0
782;69;26.0
783;68;26.0
784;67;26.1
785;67;26.0
786;67;26.0
787;67;26.0
788;67;26.1
789;67;26.1
790;67;26.1
791;67;26.1
792;68;26.1
793;68;26.1
794;68;26.1
795;68;26.1
796;68;26.1
797;68;26.1
798;68;26.1
799;68;26.1
800;67;26.1
801;68;26.1
802;68;26.1
803;67;26.1
804;67;26.2
805;67;26.2
806;67;26.2
807;67;26.2
808;66;26.2
809;66;26.2
810;66;26.2
811;66;26.2
812;66;26.2
813;66;26.2
814;66;26.2
815;66;26.2
816;66;26.2
817;67;26.2
818;68;26.2
819;68;26.2
820;68;26.2
821;68;26.2
822;68;26.2
823;68;26.2
824;68;26.2
825;68;26.2
826;67;26.2
827;67;26.2
828;66;26.2
829;66;26.2
830;66;26.2
831;66;26.2
832;66;26.2
