"Source File";"240424C\Trend1.trd";"Date";"04/24/24";"Output";"D:\RespirationData\240424C.txt";"Start";"15:54:12";"Stop";"17:37:06"
"Saba_20241023"
"Time";"Resp Rate";"Temp 1"
"Seconds";"Resp/m";"°C"
1;22;29.6
2;22;29.6
3;23;29.6
4;23;29.6
5;23;29.7
6;23;29.7
7;32;29.7
8;32;29.7
9;0;29.7
10;0;29.7
11;0;29.7
12;0;29.7
13;0;29.7
14;0;29.7
15;0;29.8
16;0;29.8
17;0;29.8
18;0;29.8
19;0;29.9
20;0;29.9
21;0;29.9
22;0;29.9
23;0;29.9
24;0;29.9
25;0;29.9
26;0;29.9
27;0;29.9
28;0;29.9
29;0;29.9
30;0;29.9
31;0;29.9
32;0;29.9
33;0;29.9
34;0;29.9
35;0;29.9
36;0;29.9
37;0;29.9
38;0;29.9
39;0;29.9
40;26;30.0
41;26;29.9
42;38;30.0
43;38;30.0
44;45;30.0
45;45;30.0
46;51;30.0
47;51;30.0
48;68;30.0
49;68;30.0
50;68;30.0
51;68;30.0
52;66;30.0
53;66;30.0
54;66;30.0
55;66;29.9
56;67;29.9
57;67;29.9
58;68;30.0
59;68;29.9
60;70;29.9
61;71;29.9
62;72;29.9
63;73;29.9
64;73;29.9
65;73;29.9
66;73;29.9
67;73;29.9
68;73;29.9
69;73;29.9
70;73;29.9
71;53;29.9
72;53;29.8
73;54;29.8
74;54;29.8
75;59;29.8
76;59;29.8
77;62;29.8
78;62;29.8
79;80;29.8
80;80;29.8
81;80;29.7
82;80;29.7
83;82;29.7
84;83;29.7
85;83;29.6
86;83;29.6
87;84;29.6
88;84;29.6
89;85;29.6
90;86;29.6
91;85;29.6
92;86;29.6
93;86;29.6
94;87;29.6
95;88;29.6
96;90;29.6
97;91;29.6
98;92;29.6
99;92;29.6
100;93;29.6
101;93;29.6
102;95;29.6
103;95;29.5
104;95;29.5
105;95;29.5
106;98;29.5
107;98;29.5
108;100;29.5
109;100;29.5
110;102;29.5
