"Source File";"240424E\Trend1.trd";"Date";"04/24/24";"Output";"D:\RespirationData\240424E.txt";"Start";"19:15:19";"Stop";"20:31:43"
"Saba_20241023"
"Time";"Resp Rate";"Temp 1"
"Seconds";"Resp/m";"°C"
1;96;31.5
2;99;31.4
3;99;31.3
4;77;31.3
5;77;31.2
6;76;31.1
7;112;31.1
8;108;31.1
9;114;31.0
10;124;31.0
11;134;30.9
12;174;30.9
13;176;30.8
14;202;30.8
15;196;30.8
16;191;30.8
17;185;30.8
18;180;30.7
19;172;30.7
20;168;30.7
21;161;30.7
22;154;30.7
23;148;30.7
24;140;30.7
25;133;30.6
26;128;30.6
27;121;30.7
28;117;30.7
29;113;30.7
30;108;30.6
31;105;30.7
32;100;30.6
33;97;30.6
34;93;30.7
35;91;30.6
36;85;30.6
37;78;30.6
38;75;30.6
39;58;30.6
40;52;30.6
41;48;30.6
42;44;30.6
43;38;30.6
44;0;30.6
45;43;30.6
46;43;30.6
47;42;30.6
48;42;30.6
49;42;30.6
50;37;30.6
51;37;30.6
52;39;30.6
53;40;30.6
54;42;30.6
55;44;30.6
56;45;30.6
57;45;30.6
58;52;30.6
59;52;30.6
60;51;30.6
61;51;30.6
62;51;30.6
63;51;30.6
64;52;30.6
65;54;30.6
66;55;30.6
67;55;30.6
68;58;30.5
69;60;30.5
70;61;30.5
71;61;30.5
72;60;30.5
73;59;30.4
74;59;30.4
75;58;30.4
76;58;30.4
77;59;30.4
78;60;30.4
79;60;30.4
80;63;30.4
81;62;30.4
82;64;30.4
83;66;30.3
84;67;30.3
85;66;30.3
86;66;30.3
87;66;30.3
88;65;30.3
89;65;30.3
90;57;30.2
91;56;30.2
92;54;30.2
93;49;30.2
94;47;30.2
95;40;30.2
96;0;30.2
97;66;30.2
98;68;30.1
99;67;30.1
100;68;30.1
101;69;30.1
102;69;30.1
103;69;30.1
104;69;30.1
105;69;30.1
106;69;30.1
107;70;30.1
108;70;30.1
109;70;30.1
110;70;30.1
111;70;30.1
112;71;30.1
113;73;30.1
114;72;30.1
115;71;30.1
116;70;30.1
117;69;30.1
118;70;30.1
119;69;30.1
120;69;30.1
121;69;30.1
122;71;30.1
123;72;30.1
124;74;30.1
125;74;30.1
126;75;30.1
127;76;30.1
128;77;30.1
129;79;30.1
130;77;30.1
131;77;30.1
132;78;30.1
133;78;30.1
134;78;30.1
135;79;30.1
136;78;30.1
137;78;30.1
138;79;30.1
139;80;30.1
140;79;30.1
141;80;30.1
142;81;30.1
143;82;30.1
144;82;30.1
145;82;30.1
146;82;30.1
147;82;30.1
148;83;30.0
149;82;30.0
150;83;30.0
