Scan_Respiration_Data,Smoothed_Respiration_Data
101,100.8
101,100.666666666667
101,100.571428571429
101,100.375
100,100.333333333333
100,100.3
100,100.2
99,100.1
100,100
100,99.9
100,99.9
100,99.9
100,99.8
100,99.8
100,99.7
100,99.6
99,99.5
99,99.4
99,99.3
99,99.2
99,99.1
99,99
99,99
99,99
99,99
99,99
99,99.1
99,99.1
99,99.2
99,99.3
100,99.4
99,99.5
100,99.5
100,99.5
100,99.5
100,99.5
99,99.3
99,99.2
99,99
99,98.8
98,98.7
98,98.6
98,98.6
98,98.5
99,98.4
99,98.3
99,98.3
98,98.3
98,98.2
98,98.1
98,97.9
98,97.7
97,97.5
97,97.4
97,97.3
97,97.2
97,97.1
97,97
97,97
97,97.1
97,97.2
97,97.3
97,97.4
98,97.5
98,97.6
98,97.7
98,97.8
98,97.9
98,98
98,98
98,98
98,98
98,97.9
98,97.8
98,97.8
98,97.7
97,97.6
97,97.5
98,97.4
97,97.3
97,97.2
97,97.1
97,97.1
97,97.2
97,97.2
97,97.3
97,97.4
98,97.5
98,97.6
98,97.7
98,97.8
98,97.9
98,97.9
98,97.7
98,97.5
98,97.3
97,97.1
96,96.9
96,96.6
96,96.3
96,96.1
96,95.9
95,95.7
95,95.6
96,95.5
96,95.5
95,95.5
95,95.5
95,95.6
96,95.7
96,95.7
96,95.7
96,95.8
96,95.9
96,96
96,96
96,96
96,96
96,96
96,96
96,96
96,95.9
96,95.8
96,95.6
96,95.4
95,95.2
95,95
94,94.8
94,94.6
94,94.4
94,94.2
94,94.1
94,94
94,94
94,94.1
94,94.2
94,94.3
94,94.4
95,94.6
95,94.8
95,95
95,95.3
96,95.5
96,95.8
96,96
97,96.1
96,96.2
97,96.3
97,96.3
96,96.3
96,96.4
96,96.4
96,96.5
96,96.5
97,96.5
97,96.6
97,96.7
97,96.8
97,96.8
97,96.8
97,96.7
97,96.6
96,96.5
96,96.3
96,96.1
96,95.9
96,95.7
95,95.5
95,95.4
95,95.3
95,95.2
95,95.1
95,95
95,94.9
95,94.9
95,94.9
95,94.9
94,94.9
95,94.9
95,94.9
95,94.9
95,95
95,95
95,95.1
95,95.2
96,95.2
95,95.2
95,95.2
96,95.2
95,95.2
95,95.2
95,95.1
