Scan_Respiration_Data,Smoothed_Respiration_Data
96,95.8
96,95.8333333333333
96,95.8571428571429
96,95.875
95,95.8888888888889
96,95.9
96,95.9
96,95.9
96,95.9
96,95.8
96,95.8
96,95.7
96,95.6
95,95.5
95,95.4
95,95.3
95,95.2
95,95.1
95,95
95,95
95,94.9
95,94.8
95,94.6
95,94.4
94,94.1
94,93.8
93,93.6
93,93.4
92,93.2
92,93.1
93,93.1
93,93.2
93,93.4
94,93.6
94,93.9
95,94.2
95,94.4
95,94.6
95,94.8
95,94.9
95,94.9
95,94.8
95,94.7
95,94.6
94,94.5
94,94.4
94,94.3
94,94.2
94,94.2
94,94.2
94,94.3
94,94.3
95,94.4
95,94.5
95,94.6
94,94.7
95,94.8
95,95
95,95.1
95,95.2
95,95.3
96,95.5
96,95.6
96,95.7
96,95.8
96,95.8
96,95.9
96,95.8
96,95.7
95,95.6
96,95.5
95,95.4
95,95.3
95,95.3
95,95.2
95,95.2
95,95.1
96,95.1
95,95.2
95,95.3
95,95.4
95,95.5
96,95.6
96,95.7
96,95.9
96,96.1
96,96.3
97,96.4
97,96.4
97,96.4
97,96.4
96,96.4
96,96.4
96,96.3
96,96.2
96,96
96,95.8
96,95.8
96,95.8
95,95.8
95,95.7
96,95.7
96,95.7
96,95.7
95,95.7
96,95.8
96,95.9
96,95.8
96,95.7
96,95.6
96,95.6
95,95.5
95,95.4
95,95.3
95,95.2
95,95.1
95,95
95,95
95,95
95,95
95,95
95,95
95,95
95,95.1
95,95.2
95,95.3
95,95.4
96,95.5
96,95.6
96,95.7
96,95.8
96,95.9
96,96
96,96
96,96
96,96
96,96
96,95.9
96,95.9
96,95.9
96,95.9
95,95.9
96,95.9
96,95.8
96,95.7
96,95.6
96,95.5
95,95.5
95,95.4
95,95.3
95,95.2
95,95.1
95,95
95,95
95,95
95,95
95,95
95,95
95,95
95,95
95,95.1
95,95.1
95,95.1
95,95.1
96,95.2
95,95.3
95,95.4
95,95.5
96,95.6
96,95.7
96,95.7
96,95.8
96,95.9
96,96
96,95.9
96,95.9
96,95.9
96,95.9
95,95.9
96,95.9
96,95.9
96,95.9
96,95.9
96,95.9
96,95.9
96,95.8
96,95.7
96,95.6
95,95.5
95,95.5
95,95.4
95,95.3
95,95.3
96,95.3
95,95.4
95,95.5
96,95.6
96,95.7
96,95.8
96,95.8
96,95.9
96,96
96,96
96,96
96,96
96,96
96,96
96,96
96,96
96,96
96,96
96,96
96,96
96,95.9
96,95.8
96,95.7
96,95.6
95,95.5
95,95.4
95,95.3
95,95.2
95,95.1
95,95.1
95,95.2
95,95.2
95,95.3
96,95.4
96,95.4
95,95.4
96,95.4
96,95.4
95,95.4
95,95.4
95,95.3
95,95.4
95,95.4
96,95.4
95,95.5
96,95.5
96,95.5
96,95.5
96,95.5
95,95.4
95,95.5
95,95.5
95,95.5
95,95.5
96,95.5
96,95.6
96,95.7
96,95.8
96,95.8
96,95.8
96,95.7
96,95.6
95,95.6
95,95.5
95,95.5
95,95.4
96,95.3
95,95.3
96,95.4
95,95.4
95,95.4
96,95.4
96,95.4
95,95.4
95,95.4
95,95.4
96,95.5
95,95.5
96,95.4
95,95.5
96,95.5
96,95.5
95,95.4
96,95.4
95,95.3
95,95.3
95,95.2
95,95.1
95,95.1
95,95
95,95
95,95
95,95
95,95
95,95
95,95
95,95
95,95
95,95
95,95
95,95
95,95
95,95
95,95
95,95
95,95
95,95
95,95
95,94.9
95,94.8
95,94.7
95,94.6
94,94.5
94,94.4
94,94.3
94,94.2
94,94.1
94,93.9
94,93.8
94,93.7
94,93.6
93,93.4
93,93.2
93,93
93,92.8
92,92.6
92,92.4
92,92.3
92,92.2
92,92.1
92,92.1
92,92.2
92,92.3
92,92.4
93,92.5
93,92.6
93,92.7
93,92.7
93,92.6
93,92.5
93,92.3
92,92.1
91,91.9
91,91.7
91,91.5
91,91.3
91,91.1
91,91
91,91
91,91
91,90.9
91,90.8
91,90.7
91,90.6
90,90.5
90,90.3
90,90.1
90,89.9
90,89.6
89,89.3
89,89.1
89,88.9
88,88.6
88,88.3
88,88
88,87.8
87,87.6
87,87.4
87,87.3
87,87.2
87,87.1
87,87
87,87
87,86.9
87,86.7
87,86.5
87,86.3
86,86
85,85.7
85,85.4
85,85.1
84,84.8
84,84.5
84,84.3
84,84.3
84,84.3
84,84.3
84,84.3
85,84.2
85,84.1
85,84
84,83.9
83,83.8
83,83.7
83,83.4
83,83.2
83,83
83,83
82,83.1
83,83.2
83,83.3
84,83.4
84,83.5
84,83.6
84,83.8
84,83.8
84,83.8
84,83.7
84,83.6
83,83.5
83,83.5
83,83.4
83,83.4
83,83.4
84,83.4
83,83.5
84,83.6
84,83.8
84,83.9
84,84
84,84.1
85,84.3
84,84.4
84,84.5
85,84.5
85,84.5
85,84.5
85,84.4
84,84.4
84,84.3
84,84.1
84,83.9
84,83.7
83,83.5
83,83.4
83,83.3
83,83.2
83,83.1
83,83.1
83,83.1
83,83.2
83,83.3
84,83.4
83,83.5
84,83.6
84,83.7
84,83.8
84,83.9
84,83.9
84,84
84,84
84,83.9
84,83.9
84,83.9
84,83.8
83,83.8
84,83.8
84,83.8
83,83.8
84,83.8
84,83.7
84,83.8
84,83.7
84,83.6
83,83.5
84,83.3
83,83.2
83,83.1
82,83
82,82.9
83,82.9
83,82.8
83,82.8
83,82.8
83,82.9
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,82.9
83,82.8
83,82.7
83,82.6
82,82.5
82,82.4
82,82.4
82,82.4
82,82.4
82,82.4
83,82.5
83,82.6
83,82.7
83,82.1
83,81.5
83,80.9
83,80.2
76,79.6
76,78.9
76,78.3
76,77.8
77,77.9
76,78
77,78.9
78,79.7
84,80.6
84,81.4
85,82.1
84,82.9
85,83.6
84,84.2
84,84.2
84,84.2
84,84.1
84,84.1
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84.1
84,84.2
84,84.3
84,84.4
85,84.5
85,84.6
85,84.7
85,84.8
85,84.9
85,85
85,85
85,84.9
85,84.9
85,84.9
85,84.8
84,84.8
85,84.8
85,84.8
84,84.9
85,85
85,85.1
85,85.3
86,85.4
86,85.5
86,85.8
86,86
86,86.2
86,86.4
87,86.4
87,86.4
87,86.4
87,86.3
86,86.2
86,86
86,85.7
85,85.4
85,85
84,84.7
84,84.5
84,84.3
83,84.1
84,84
84,84
84,84
84,84.1
84,84.2
85,84.4
84,84.4
85,84.4
85,84.4
85,84.4
84,84.5
84,84.5
84,84.6
84,84.6
85,84.7
85,84.8
85,85
85,85.2
86,85.4
86,85.6
86,85.7
86,85.8
86,85.9
86,86.1
86,86.2
86,86.2
86,86.2
87,86.3
87,86.4
86,86.5
86,86.6
87,86.7
87,86.8
87,86.8
87,86.8
87,86.9
87,87
87,86.9
87,86.8
87,86.7
87,86.6
86,86.5
86,86.4
86,86.3
86,86.2
86,86.1
86,86
86,86
86,86.1
86,86.2
86,86.2
86,86.2
87,86.2
87,86.2
86,86.2
86,86.2
86,86.1
86,86
86,85.8
86,85.6
85,85.5
85,85.4
85,85.3
85,85.2
85,85.1
85,85
85,85
85,85
85,85
85,85
85,85
85,85
85,85
85,85
85,85
85,85
85,85
85,85
85,85
85,85
85,85
85,85
85,85
85,85
85,85
85,85.1
85,85.2
85,85.3
85,85.3
86,85.3
86,85.3
86,85.3
85,85.3
85,85.3
85,85.3
85,85.2
85,85.1
85,85
85,85
85,85
85,85
85,85
85,85
85,85
85,85
85,85
85,85
85,84.9
85,84.8
85,84.7
85,84.6
84,84.5
84,84.4
84,84.3
84,84.2
84,84.1
84,84.1
84,84.2
84,84.3
84,84.4
85,84.5
85,84.6
85,84.7
85,84.8
85,84.9
85,85
85,85
85,85.1
85,85.2
85,85.3
85,85.4
86,85.5
86,85.6
86,85.7
86,85.8
86,85.9
86,86
86,86
86,85.9
86,85.9
86,85.8
86,85.7
85,85.6
86,85.5
85,85.4
85,85.3
85,85.2
85,85.1
85,85.1
85,85
85,85
85,85
85,85
85,84.9
85,84.9
85,84.8
85,84.8
84,84.8
85,84.8
84,84.8
85,84.8
85,84.8
85,84.8
85,85
85,85
85,85.2
85,85.2
86,85.3
85,85.4
86,85.5
85,85.6
86,85.7
86,85.7
86,85.7
86,85.7
86,85.6
85,85.5
86,85.3
85,85.1
85,84.9
84,84.7
84,84.5
84,84.5
84,84.4
84,84.4
84,84.5
85,84.7
85,84.9
85,85.2
86,85.4
86,85.6
86,85.8
87,85.8
86,85.8
86,85.8
86,85.6
85,85.4
85,85.2
85,84.9
84,84.7
84,84.5
84,84.2
84,84
84,83.8
84,83.6
83,83.5
83,83.4
83,83.3
83,83.2
83,83.1
83,83
83,83
83,83
83,83
83,82.9
83,82.9
83,82.9
83,82.9
82,83
83,83.1
83,83.2
83,83.3
84,83.4
84,83.5
84,83.7
84,83.7
84,83.7
84,83.7
84,83.6
83,83.5
83,83.4
83,83.3
83,83.2
83,83
83,82.8
83,82.7
83,82.6
82,82.5
82,82.4
82,82.3
82,82.2
82,82.2
82,82.2
82,82.2
82,82.3
83,82.4
83,82.5
82,82.6
83,82.7
83,82.8
83,82.9
83,83
83,83.1
83,83.3
83,83.3
84,83.3
84,83.3
84,83.3
83,83.3
83,83.3
83,83.3
83,83.2
83,83.1
83,83
83,83
83,83
83,83
83,83.1
83,83.2
83,83.3
83,83.4
84,83.5
84,83.5
84,83.5
84,83.5
84,83.5
83,83.6
83,83.5
83,82.6
83,81.7
84,80.8
83,79.9
75,79.1
75,78.3
75,77.5
75,76.8
75,76.7
75,76.6
75,77.4
76,78.2
83,78.9
82,79.7
83,80.4
83,81.2
82,81.9
83,82.6
82,82.6
83,82.7
82,82.7
83,82.7
83,82.8
83,82.8
83,82.9
83,82.9
83,83
83,83
83,83.1
83,83.2
83,83.2
83,83.2
84,83.3
84,83.4
83,83.5
83,83.6
84,83.8
84,83.9
84,83.9
84,84
85,84.1
84,84.3
84,84.4
85,84.4
84,84.4
85,84.4
85,84.4
84,84.5
84,84.6
84,84.5
85,84.6
85,84.6
85,84.6
84,84.7
85,84.8
85,84.9
85,85
85,85.1
85,85.2
85,85.4
86,85.5
86,85.6
86,85.7
86,85.8
86,85.9
86,86
86,86
86,86
86,86
86,86
86,86
86,86
86,86
86,86
86,86
86,86
86,86
86,86
86,86
86,86.1
86,86.2
86,86.3
86,86.4
87,86.5
87,86.6
87,86.8
87,87
87,87.1
87,87.2
88,87.3
88,87.4
87,87.5
87,87.6
88,87.7
88,87.8
88,87.9
88,88
88,88.2
88,88.5
89,88.7
89,88.9
89,89.2
90,89.6
90,90.1
90,90.7
91,91.3
92,92
93,92.8
94,93.6
95,94.5
96,95.5
97,96.4
98,97.2
99,98
100,98.7
100,99.4
100,99.9
101,100.3
101,100.7
102,101
101,101.1
101,101.2
102,101.2
102,101.1
101,101
101,100.7
100,100.4
100,100.1
100,99.7
99,99.3
98,99
98,98.7
98,98.4
98,98.1
98,97.9
98,97.7
97,97.6
97,97.5
98,97.3
97,97.2
97,97.1
97,97
96,97
97,97
97,97
97,97.1
97,97.2
97,97.3
98,97.5
98,97.6
98,97.7
98,97.8
98,97.8
98,97.8
98,97.7
98,97.6
97,97.5
97,97.4
97,97.2
97,97.1
97,97
97,96.9
96,97
97,97.1
97,97.2
97,97.3
98,97.5
98,97.7
98,98
98,98.2
99,98.4
99,98.6
99,98.7
99,98.8
99,98.9
99,98.9
99,98.8
99,98.7
99,98.7
98,98.7
98,98.7
98,98.7
99,98.7
99,98.7
99,98.7
99,98.8
